<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170713;000000;161.5000000;162.6200000;158.3400000;159.9400000;71787880
20170714;000000;159.7600000;162.2600000;159.4300000;161.4000000;43595840
20170717;000000;161.8000000;163.1000000;159.8200000;161.9800000;40199450
20170718;000000;162.0000000;162.9900000;160.8800000;161.7000000;36407150
20170719;000000;161.3900000;164.3400000;160.5300000;164.3400000;56444180
20170720;000000;164.0900000;164.9100000;163.4700000;163.9300000;41779280
20170721;000000;163.9600000;163.9900000;161.7200000;162.1000000;34999750
20170724;000000;161.2900000;162.3300000;158.6000000;161.3300000;57416210
20170725;000000;161.6900000;162.3000000;159.9200000;160.2200000;43196660
20170726;000000;160.7000000;162.3100000;160.1200000;161.5500000;42539870
20170727;000000;162.4400000;166.0000000;162.4000000;166.0000000;55205790
20170728;000000;165.3700000;165.7500000;163.1500000;165.4000000;50062090
20170731;000000;165.5200000;167.3500000;163.8800000;164.5300000;55705590
20170801;000000;165.5300000;168.0000000;165.3000000;166.3100000;55300510
20170802;000000;166.6000000;169.9400000;166.5400000;169.9000000;55319940
20170803;000000;170.0000000;170.9800000;169.1700000;170.0000000;56272350
20170804;000000;169.4800000;170.0000000;168.6000000;169.7300000;27177250
20170807;000000;170.4700000;172.9500000;170.3800000;172.7900000;35525700
20170808;000000;173.0300000;175.8800000;172.6600000;175.7500000;50494550
20170809;000000;174.8000000;175.2000000;172.8000000;173.4000000;48886900
20170810;000000;173.7400000;174.1600000;172.0100000;172.2000000;29995890
20170811;000000;171.3000000;172.4900000;168.6400000;172.0500000;60432960
20170814;000000;172.7700000;173.7700000;171.3700000;172.5100000;30776790
20170815;000000;172.3100000;172.7200000;170.4600000;172.3300000;30337020
20170816;000000;172.9500000;175.3000000;172.8300000;173.0500000;41805640
20170817;000000;172.5200000;173.9900000;172.2700000;172.7200000;26002740
20170818;000000;171.7000000;171.7100000;168.1300000;169.5000000;52297420
20170821;000000;169.7800000;170.6900000;168.5000000;169.9000000;36674400
