<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170904;000000;0.0630100;0.0635700;0.0616300;0.0616300;20647780000
20170905;000000;0.0617900;0.0620400;0.0597000;0.0601000;27189750000
20170906;000000;0.0600000;0.0607200;0.0593000;0.0602000;15052780000
20170907;000000;0.0602500;0.0610000;0.0601000;0.0601000;8159330000
20170908;000000;0.0602100;0.0618500;0.0601000;0.0616000;12818690000
20170911;000000;0.0620200;0.0625700;0.0613500;0.0621100;13082360000
20170912;000000;0.0622500;0.0642700;0.0620100;0.0637300;20740930000
20170913;000000;0.0637300;0.0648400;0.0623900;0.0623900;21827340000
20170914;000000;0.0626500;0.0633500;0.0622000;0.0628900;9692190000
20170915;000000;0.0627800;0.0637900;0.0616000;0.0616000;14539870000
20170918;000000;0.0621100;0.0624800;0.0619900;0.0622700;5753820000
20170919;000000;0.0622400;0.0627400;0.0613700;0.0618800;9885970000
20170920;000000;0.0619800;0.0619900;0.0611000;0.0618000;12836550000
20170921;000000;0.0616800;0.0619500;0.0612600;0.0616300;11145840000
20170922;000000;0.0616100;0.0619400;0.0610500;0.0612900;11143220000
20170925;000000;0.0613500;0.0627900;0.0611900;0.0625400;11603980000
20170926;000000;0.0626500;0.0628500;0.0621100;0.0623300;12977870000
20170927;000000;0.0623300;0.0627500;0.0615700;0.0616300;11268050000
20170928;000000;0.0618000;0.0622400;0.0616500;0.0619100;7369470000
20170929;000000;0.0620500;0.0622500;0.0615900;0.0615900;4165570000
20171002;000000;0.0617000;0.0621700;0.0612400;0.0614400;10804370000
20171003;000000;0.0615600;0.0620000;0.0614100;0.0616100;5858540000
20171004;000000;0.0613300;0.0615900;0.0612000;0.0614000;5866770000
20171005;000000;0.0614100;0.0614600;0.0607100;0.0612000;12814320000
20171006;000000;0.0612900;0.0621000;0.0612900;0.0614500;18453320000
20171009;000000;0.0615900;0.0619000;0.0613500;0.0615700;6780120000
20171010;000000;0.0616100;0.0618000;0.0613100;0.0615800;6057820000
20171011;000000;0.0616900;0.0617100;0.0611800;0.0611800;14957030000
20171012;000000;0.0612400;0.0615600;0.0611000;0.0612000;7087350000
20171013;000000;0.0612900;0.0614900;0.0608400;0.0610000;6100650000
20171016;000000;0.0611300;0.0615000;0.0609700;0.0611500;6295220000
20171017;000000;0.0611700;0.0612200;0.0602900;0.0606000;5259910000
