<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20170607;000000;119.3300000;121.4400000;118.8500000;118.9200000;27870030
20170608;000000;119.1900000;120.1100000;117.8200000;119.3000000;27514310
20170609;000000;119.3200000;120.5000000;118.9500000;120.5000000;21294170
20170613;000000;120.2900000;120.3800000;118.1500000;118.1500000;31058980
20170614;000000;118.2600000;118.5400000;115.1000000;115.3500000;47003760
20170615;000000;115.2500000;115.7500000;111.4600000;115.4900000;120644420
20170616;000000;115.8100000;117.2500000;114.6000000;116.0200000;40336010
20170619;000000;116.0000000;117.4500000;115.7900000;117.3300000;21749140
20170620;000000;117.5100000;119.0000000;116.5600000;117.4400000;29930700
20170621;000000;117.5000000;118.3200000;116.8400000;117.9700000;23560060
20170622;000000;117.7800000;119.7800000;116.8600000;119.5500000;31513190
20170623;000000;119.5200000;120.0900000;118.6600000;119.1000000;23303360
20170626;000000;119.5000000;119.9700000;118.2600000;118.6700000;18274640
20170627;000000;118.4000000;119.7500000;118.0200000;119.3500000;18365790
20170628;000000;118.7200000;119.7000000;118.1900000;119.7000000;21106940
20170629;000000;120.1800000;120.8800000;118.8000000;119.1600000;26435690
20170630;000000;118.9500000;120.2200000;118.1800000;118.4900000;22432000
20170703;000000;119.1700000;119.9300000;118.7500000;119.8600000;18087840
20170704;000000;120.0000000;123.2900000;119.7200000;122.7300000;37693640
20170705;000000;122.9500000;123.7500000;122.3200000;122.7000000;26052360
20170706;000000;122.8200000;123.6500000;121.4400000;122.6800000;25151140
20170707;000000;122.1900000;123.0000000;121.4000000;123.0000000;24725120
20170710;000000;123.2600000;124.6200000;123.0300000;124.2500000;27166510
20170711;000000;124.3800000;124.9400000;123.8500000;124.7800000;20642420
20170712;000000;125.0100000;125.3000000;124.1900000;124.8700000;22701550
20170713;000000;124.7900000;125.8900000;124.6600000;125.5500000;29387490
20170714;000000;125.6700000;126.3500000;125.0000000;125.0000000;21555180
20170717;000000;125.3900000;125.7000000;124.3000000;125.1400000;23810200
20170718;000000;125.0900000;125.7500000;124.4900000;124.4900000;39544710
20170719;000000;118.4400000;120.1100000;118.1100000;120.1100000;42498820
20170720;000000;120.2900000;121.2700000;119.8100000;120.6000000;21786790
20170721;000000;120.2100000;120.2600000;118.6500000;118.9500000;20841430
20170724;000000;118.5400000;119.4000000;117.9200000;119.1700000;22726670
20170725;000000;119.1600000;119.7000000;117.6700000;118.4000000;23673000
20170726;000000;118.3500000;119.1200000;118.2500000;119.0000000;22310500
20170727;000000;119.1200000;119.3500000;117.8300000;118.6800000;25737570
20170728;000000;118.1600000;118.1800000;115.4100000;116.9000000;34566970
20170731;000000;116.7100000;118.1800000;115.0800000;116.1000000;40277050
20170801;000000;116.8300000;118.6500000;116.8200000;117.9900000;28881020
20170802;000000;118.0000000;119.0900000;117.9000000;119.0900000;20782720
20170803;000000;119.1300000;119.9900000;118.8500000;119.5800000;22369700
20170804;000000;119.3400000;119.8800000;118.6800000;119.4500000;17244330
20170807;000000;119.3200000;120.3800000;118.9000000;119.5000000;21791100
20170808;000000;119.4700000;119.8900000;119.2500000;119.6700000;14891840
20170809;000000;119.3900000;119.4600000;118.0200000;118.6800000;20245120
20170810;000000;118.7100000;119.4000000;118.0300000;118.0500000;18090560
20170811;000000;117.5600000;117.8500000;116.3400000;116.9300000;24804530
20170814;000000;117.1800000;117.9900000;117.1500000;117.4000000;13554100
20170815;000000;117.1200000;117.7000000;116.5100000;117.5900000;16686400
20170816;000000;117.8000000;117.8700000;116.6300000;116.7500000;19124720
20170817;000000;116.7200000;116.9500000;115.9200000;116.2200000;16600490
20170818;000000;115.8500000;116.0900000;115.1500000;116.0000000;22256230
20170821;000000;116.1000000;116.4700000;115.3900000;115.9200000;16461430
20170822;000000;115.9900000;116.7300000;115.6800000;116.0000000;16010450
20170823;000000;116.0900000;116.2700000;115.0700000;115.7500000;22758830
20170824;000000;115.7700000;116.8900000;115.4200000;116.5600000;18564950
20170825;000000;116.8200000;118.0000000;116.5600000;117.8500000;21083020
